,Damage,Health,Health Regen,Defense Absolute,Damage / Meter,Lifesteal,,Damage,Rend Armor,Critical Factor,Damage/Meter,Super Crit Mult,Attack Speed,Health,Health Regen,Defense Absolute,Land Mine Damage,Wall Health,Orb Size,Cash Bonus,Coin Bonus,Cells / Kill Bonus,Free Upgrades,Recovery Package,Enemy Level Skip
Workshop,3,5,0.0005,0,0,0,Workshop +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5.877,10,0.0399999991059303,0.504999995231628,0.7939773798,0.09927235544,,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000,5000000000
,8.908,15.0769996643066,0.0884999982118607,1.51994898564816,1.576000094,0.1970999986,,5040000000,5040000000,5040000000,5040000000,5040000000,6100000000,5040000000,5040000000,5040000000,5040000000,5040000000,6250000000,5040000000,6250000000,6250000000,6050000000,5040000000,15499999744
,12.093,20.097185602328,0.151587081611156,2.55563557463949,2.346203089,0.2934987247,,5105947936,5105947936,5105947936,5105947936,5105947936,23579171328,5105947936,5105947936,5105947936,5105947936,5105947936,12464403968,5105947936,12464403968,12464403968,22248374784,5105947936,202983125504
,15.432,25.9979132943818,0.234163052797318,3.62399103538218,3.104720116,0.3884840906,,5202115792,5202115792,5202115792,5202115792,5202115792,106204180992,5202115792,5202115792,5202115792,5202115792,5202115792,27424020992,5202115792,27424020992,27424020992,95555973632,5202115792,1132715438592
,18.925,32.6758214062247,0.33963343000412,4.73464229221187,3.851683378,0.4820716083,,5331121280,5331121280,5331121280,5331121280,5331121280,343193940480,5331121280,5331121280,5331121280,5331121280,5331121280,54502928896,5331121280,54502928896,54502928896,299266765312,5331121280,3887235461632
,22.572,40.310564520516,0.470741903662682,5.89604257541594,4.587224007,0.5742766261,,5494932448,5494932448,5494932448,5494932448,5494932448,867830788608,5494932448,5494932448,5494932448,5494932448,5494932448,96847450624,5494932448,96847450624,96847450624,739386716672,5494932448,10136606601728
,26.373,49.0693445982124,0.62983224606514,7.1158777927034,5.311471462,0.6651141644,,5695148928,5695148928,5695148928,5695148928,5695148928,1860135285248,5695148928,5695148928,5695148928,5695148928,5695148928,157446648320,5695148928,157446648320,157446648320,1555615445504,5695148928,22192547295744
,30.328,59.1100979674611,0.81897399187088,8.40127638510422,6.024554729,0.754599452,,5933128896,5933128896,5933128896,5933128896,5933128896,3549030117888,5933128896,5933128896,5933128896,5933128896,5933128896,239170531840,5933128896,239170531840,239170531840,2922117984768,5933128896,43053398487552
,34.437,70.5834860234063,1.04003383612633,9.75893539106834,6.726599693,0.8427472115,,6210058752,6210058752,6210058752,6210058752,6210058752,6214172668416,6210058752,6210058752,6210058752,6210058752,6210058752,344794001920,6210058752,344794001920,344794001920,5048166642176,6210058752,76443095003648
,38.7,83.634214884587,1.29472118282318,11.1952039480022,7.417732716,0.9295721054,,6526995072,6526995072,6526995072,6526995072,6526995072,10187553763840,6526995072,6526995072,6526995072,6526995072,6526995072,477013209600,6526995072,477013209600,477013209600,8178688717312,6526995072,126845626741248
,43.117,98.4019699937853,1.58461926031113,12.7161425721298,8.098078728,1.015088916,,6884893312,6884893312,6884893312,6884893312,6884893312,15854925640192,6884893312,6884893312,6884893312,6884893312,6884893312,638457278976,6884893312,638457278976,638457278976,12594751861248,6884893312,199536329224704
,47.688,115.022163798705,1.91120656275749,14.3275659759206,8.767760277,1.099311948,,7284627456,7284627456,7284627456,7284627456,7284627456,23657076617728,7284627456,7284627456,7284627456,7284627456,7284627456,831697383936,7284627456,831697383936,831697383936,18613985997312,7284627456,300610331472384
,52.413,133.62641800601,2.27587385177612,16.0350774277543,9.42689991,1.182255745,,7727002880,7727002880,7727002880,7727002880,7727002880,34091020186112,7727002880,7727002880,7727002880,7727002880,7727002880,1059253383680,7727002880,1059253383680,1059253383680,26590988071424,7727002880,437009131106816
