Level,Damage,Level,Health,Level,HPregen,Level,DefAbs,Level,Damage / Meter,Level,Lifesteal,,,,
0,3,0,5,0,0.0005,0,0,0,0,0,0,,,,
1,5.877,1,10,1,0.0399999991059303,1,0.504999995231628,1,0.7939773798,1,0.09927235544,,,,
2,8.908,2,15.0769996643066,2,0.0884999982118607,2,1.51994898564816,2,1.576000094,2,0.1970999986,,,,
3,12.093,3,20.097185602328,3,0.151587081611156,3,2.55563557463949,3,2.346203089,3,0.2934987247,,,,
4,15.432,4,25.9979132943818,4,0.234163052797318,4,3.62399103538218,4,3.104720116,4,0.3884840906,,,,
5,18.925,5,32.6758214062247,5,0.33963343000412,5,4.73464229221187,5,3.851683378,5,0.4820716083,,,,
6,22.572,6,40.310564520516,6,0.470741903662682,6,5.89604257541594,6,4.587224007,6,0.5742766261,,,,
7,26.373,7,49.0693445982124,7,0.62983224606514,7,7.1158777927034,7,5.311471462,7,0.6651141644,,,,
8,30.328,8,59.1100979674611,8,0.81897399187088,8,8.40127638510422,8,6.024554729,8,0.754599452,,,,
9,34.437,9,70.5834860234063,9,1.04003383612633,9,9.75893539106834,9,6.726599693,9,0.8427472115,,,,
10,38.7,10,83.634214884587,10,1.29472118282318,10,11.1952039480022,10,7.417732716,10,0.9295721054,,,,
11,43.117,11,98.4019699937853,11,1.58461926031113,11,12.7161425721298,11,8.098078728,11,1.015088916,,,,
12,47.688,12,115.022163798705,12,1.91120656275749,12,14.3275659759206,12,8.767760277,12,1.099311948,,,,
13,52.413,13,133.62641800601,13,2.27587385177612,13,16.0350774277543,13,9.42689991,13,1.182255745,,,,
14,57.292,14,154.343064527377,14,2.67993676996231,14,17.8440935210856,14,10.07561779,14,1.263933897,,,,
15,62.325,15,176.392881510634,15,3.12464492273331,15,19.7598662250421,15,10.71403408,15,1.344360948,,,,
16,67.512,16,201.578517502479,16,3.61119126987457,16,21.7875007061407,16,11.34226704,16,1.423550725,,,,
17,72.853,17,229.232181813954,17,4.14071723127365,17,23.9319659004916,17,11.96043396,17,1.501516819,,,,
18,78.348,18,259.471256497487,18,4.71431890821457,18,26.1981129396408,18,12.56865025,18,1.578272939,,,,
19,83.997,19,292.411100290032,19,5.33305110740662,19,28.5906793794517,19,13.16703033,19,1.653832316,,,,
20,89.8,20,328.165256895536,20,5.99793159294128,20,31.1143024908768,20,13.75568962,20,1.728208661,,,,
21,95.757,21,366.845395475666,21,6.70994376039505,21,33.7735228847129,21,14.33473969,21,1.801415205,,,,
22,101.868,22,408.561637950839,22,7.47004088878631,22,36.5727941776172,22,14.90428925,22,1.873464584,,,,
23,108.133,23,453.422529245585,23,8.27914577007294,23,39.5164902416187,23,15.46445179,23,1.944370151,,,,
24,114.552,24,501.535215816381,24,9.13815720510483,24,42.6089064123703,24,16.01533699,24,2.014144897,,,,
25,121.125,25,553.005445651652,25,10.0479474487305,25,45.8542679469121,25,16.5570488,25,2.082800865,,,,
26,127.852,26,607.937746799609,26,11.0093667831421,26,49.2567300236717,26,17.08969879,26,2.150351286,,,,
27,134.733,27,666.435367858969,27,12.0232430877686,27,52.8203874084796,27,17.61338997,27,2.216808319,,,,
28,141.768,28,728.600426752149,28,13.0903867235184,28,56.5492684133093,28,18.12822723,28,2.282184124,,,,
29,148.957,29,794.533910725273,29,14.2115851716995,29,60.4473578530648,29,18.63431549,29,2.346491575,,,,
30,156.3,30,873.20082933185,30,15.3876130876541,30,65.157365147801,30,19.13175583,30,2.409741879,,,,
31,163.797,31,947.726865875615,31,16.6192242527008,31,69.4476335851533,31,19.62064934,31,2.471947908,,,,
32,171.448,32,1026.36003504739,32,17.9071600055695,32,73.9205071704581,32,20.10109711,32,2.533120871,,,,
33,179.253,33,1109.19851220259,33,19.2521444644928,33,78.5798027356754,33,20.57320023,33,2.593272448,,,,
34,187.212,34,1196.33951078259,34,20.6548896627426,34,83.4292809828832,34,21.03705406,34,2.652414799,,,,
35,195.325,35,1287.87958291281,35,22.1160907964706,35,88.4726708885743,35,21.4927578,35,2.710558891,,,,
36,203.592,36,1383.91395808681,36,23.6364335317612,36,93.7136477397894,36,21.94041252,36,2.767716885,,,,
37,212.013,37,1484.53786579816,37,25.2165925483704,37,99.1558526575542,37,22.38010406,37,2.823899031,,,,
38,220.588,38,1589.84485219081,38,26.8572245903015,38,104.802897477739,38,22.81193352,38,2.87911725,,,,
39,229.317,39,1699.92870388721,39,28.5589823646545,39,110.65834034676,39,23.23599243,39,2.933382511,,,,
40,238.2,40,1814.8817646387,40,30.3225030784607,40,116.725715006741,40,23.65237236,40,2.986705303,,,,
41,247.237,41,1934.79613771811,41,32.1484174661636,41,123.008521033787,41,24.06116676,41,3.039096832,,,,
42,256.428,42,2059.76272400565,42,34.037344918251,42,129.51021895713,42,24.4624691,42,3.090568066,,,,
43,265.773,43,2189.87242438155,43,35.9898919992447,43,136.234244901707,43,24.85636139,43,3.141129017,,,,
44,275.272,44,2325.21565876901,44,38.0066630764007,44,143.184000826437,44,25.24293709,44,3.190790653,,,,
45,284.925,45,2465.88116374158,45,40.0882489757538,45,150.362844762509,45,25.62228394,45,3.239562988,,,,
46,294.732,46,2611.95767587281,46,42.2352342891693,46,157.774134741109,46,25.99448776,46,3.287456989,,,,
47,304.693,47,2763.53417221477,47,44.4481904249191,47,165.421179984832,47,26.35963821,47,3.334482431,,,,
48,314.808,48,2920.69818694843,48,46.7276928281784,48,173.307260431116,48,26.7178154,48,3.380649328,,,,
49,325.077,49,3083.53629234066,49,49.0742953290939,49,181.435646255682,49,27.06910324,49,3.425967455,,,,
50,335.5,50,3301.66088867188,50,51.4885517578125,50,191.670444970907,50,27.41358948,50,3.47044754,,,,
51,346.077,51,3478.76416015625,51,53.971015586853,51,200.377651320844,51,27.75135612,51,3.514098883,,,,
52,356.808,52,3661.89135742188,52,56.5222186737061,52,209.339267864887,52,28.08248329,52,3.556931019,,,,
53,367.693,53,3851.1279296875,53,59.1426971511841,53,218.558478550212,53,28.40705109,53,3.598953962,,,,
54,378.732,54,4046.56103515625,54,61.8329739685059,54,228.038457466575,54,28.72514153,54,3.640177011,,,,
55,389.925,55,4248.275390625,55,64.59357670784,55,237.782358988888,55,29.0368309,55,3.680609226,,,,
56,401.272,56,4456.3564453125,56,67.4250146579742,56,247.793298062377,56,29.34219933,56,3.72026062,,,,
57,412.773,57,4670.888671875,57,70.327793428421,57,258.074389632269,57,29.6413269,57,3.759140015,,,,
58,424.428,58,4891.95654296875,58,73.3024227848053,58,268.628709214102,58,29.93428421,58,3.797256947,,,,
59,436.237,59,5119.6435546875,59,76.3493993091583,59,279.459332323417,59,30.22114944,59,3.834619522,,,,
60,448.2,60,5354.033203125,60,79.4692107944489,60,290.569275331223,60,30.50200081,60,3.871237755,,,,
61,460.317,61,5595.208984375,61,82.662358455658,61,301.961613753061,61,30.77691078,61,3.907119513,,,,
62,472.588,62,5843.25341796875,62,85.9292988471985,62,313.639304815409,62,31.04595566,62,3.942274809,,,,
63,485.013,63,6098.248046875,63,89.2705331840515,63,325.605345174435,63,31.3092041,63,3.976711273,,,,
64,497.592,64,6360.27490234375,64,92.6865272865295,64,337.862731486307,64,31.56672668,64,4.010437965,,,,
65,510.325,65,6629.41650390625,65,96.1777381858826,65,350.414381547817,65,31.81859779,65,4.043462753,,,,
66,523.212,66,6905.75244140625,66,99.7446492805481,66,363.263272300289,66,32.064888,66,4.07579565,,,,
67,536.253,67,7189.36474609375,67,103.387700023651,67,376.412262395988,67,32.30567169,67,4.107442856,,,,
68,549.448,68,7480.3330078125,68,107.107356473923,68,389.864309061394,68,32.54100418,68,4.138414383,,,,
69,562.797,69,7778.7373046875,69,110.904066396713,69,403.622251233928,69,32.77096558,69,4.168717384,,,,
70,576.3,70,8084.658203125,70,114.778278272629,70,421.744236030513,70,33,70,4.198360443,,,,
71,589.957,71,8398.1748046875,71,118.730431554794,71,436.262199997997,71,33.20000076,71,4.227351189,,,,
72,603.768,72,8719.3662109375,72,122.760965696335,72,451.097708453834,72,33.40000153,72,4.255698204,,,,
73,617.733,73,9048.310546875,73,126.870320150375,73,466.253548272921,73,33.59999847,73,4.283408165,,,,
74,631.852,74,9385.0859375,74,131.058908241272,74,481.73266558015,74,33.79999924,74,4.310489655,,,,
75,646.125,75,9827.07009275653,75,135.327186523437,75,497.537767625423,75,34,75,4.336950302,,,,
76,660.552,76,10183.2706557994,76,139.675550743103,76,513.671760721131,76,34.20000076,76,4.362798214,,,,
77,675.133,77,10547.6182890779,77,144.104440353394,77,530.137352117177,77,34.40000153,77,4.388040066,,,,
78,689.868,78,10920.1899261849,78,148.614268440247,78,546.937368500956,78,34.59999847,78,4.41268301,,,,
79,704.757,79,11301.0625007136,79,153.205439300537,79,564.074556934868,79,34.79999924,79,4.43673563,,,,
80,719.8,80,11690.3159052413,80,157.878374809265,80,581.55170429381,80,35,80,4.460204124,,,,
81,734.997,81,12088.0260870329,81,162.633488290787,81,599.371478015184,81,35.20000076,,,,,,
82,750.348,82,12494.2680070251,82,167.47114840889,82,617.536704786388,82,35.40000153,,,,,,
83,765.853,83,12909.1225441236,83,172.391794855118,83,636.050012232324,83,35.59999847,,,,,,
84,781.512,84,13332.6607139525,84,177.395814348221,84,654.914107602893,84,35.79999924,,,,,,
85,797.325,85,13764.9643817456,85,182.483593606949,85,674.131737960494,85,36,,,,,,
86,813.292,86,14206.1065357833,86,187.655536928177,86,693.705530930032,86,36.20000076,,,,,,
87,829.413,87,14656.1621370025,87,192.912031269073,87,713.638193761406,87,36.40000153,,,,,,
88,845.688,88,15115.2081189961,88,198.253445293427,88,733.932314267022,88,36.59999847,,,,,,
89,862.117,89,15583.3194427011,89,203.68018353653,89,754.590599696781,89,36.79999924,,,,,,
90,878.7,90,16060.5690963978,90,209.192615139008,90,783.073513891357,90,37,,,,,,
91,895.437,91,16547.0340136795,91,214.791126819611,91,804.673687988552,91,37.20000076,,,,,,
92,912.328,92,17042.7871828265,92,220.476087718964,92,826.649366678069,92,37.40000153,,,,,,
93,929.373,93,17547.9055374321,93,226.24786721611,93,849.003363631655,93,37.59999847,,,,,,
94,946.572,94,18062.457134136,94,232.106869131088,94,871.738090567952,94,37.79999924,,,,,,
95,963.925,95,18586.5228518439,95,238.053410108566,95,894.856280768084,95,38,,,,,,
96,981.432,96,19120.1717335237,96,244.087894445419,96,918.360426341313,96,38.20000076,,,,,,
97,999.093,97,19663.4787401124,97,250.210691282272,97,942.253180178145,97,38.40000153,,,,,,
98,1016.908,98,20216.5168598904,98,256.422117025375,98,966.537195169084,98,38.59999847,,,,,,
99,1034.877,99,20779.3571084822,99,262.722575971603,99,991.214802642148,99,38.79999924,,,,,,
100,1053,100,21563.4809248988,100,269.11240234375,100,1016.28873587846,100,39,,,,,,
101,1071.277,101,22151.9153279578,101,275.591947227478,101,1041.76156737791,101,39.20000076,,,,,,
102,1089.708,102,22750.4700433277,102,282.161580001831,102,1067.63570885914,102,39.40000153,,,,,,
103,1108.293,103,23359.2167897569,103,288.821634651184,103,1093.9136524314,103,39.59999847,,,,,,
104,1127.032,104,23978.2312703691,104,295.572462738037,104,1120.59805098521,104,39.79999924,,,,,,
105,1145.925,105,24607.5812195381,105,302.414433403015,105,1147.6913162392,105,40,,,,,,
106,1164.972,106,25247.3423403874,106,309.347863052368,106,1175.19602069325,106,40.20000076,,,,,,
107,1184.173,107,25897.5863516657,107,316.373085670471,107,1203.114576066,107,40.40000153,,,,,,
108,1203.528,108,26558.3829799341,108,323.490487976074,108,1231.44955485735,108,40.59999847,,,,,,
109,1223.037,109,27229.8059361288,109,330.700351696014,109,1260.20328839531,109,40.79999924,,,,,,
110,1242.7,110,27911.9249468111,110,338.003062595367,110,1301.6581318282,110,41,,,,,,
111,1262.517,111,28604.809738542,111,345.39893755722,111,1331.5388246527,111,41.20000076,,,,,,
112,1282.488,112,29308.5380066326,112,352.888257831573,112,1361.84980789146,112,41.40000153,,,,,,
113,1302.613,113,30023.1735010818,113,360.471445293426,113,1392.59343507562,113,41.59999847,,,,,,
114,1322.892,114,30748.7899328256,114,368.14874603653,114,1423.77222204879,114,41.79999924,,,,,,
115,1343.325,115,31485.4570284253,115,375.920546779633,115,1455.38868465459,115,42,,,,,,
116,1363.912,116,32233.2465066295,116,383.787163928986,116,1487.44509526788,116,42.20000076,,,,,,
117,1384.653,117,32992.2280939994,117,391.748878734589,117,1519.94405088854,117,42.40000153,,,,,,
118,1405.548,118,33762.4695249088,118,399.806042758942,118,1552.88790504768,118,42.59999847,,,,,,
119,1426.597,119,34544.0445102938,119,407.958972408295,119,1586.27909243267,119,42.79999924,,,,,,
120,1447.8,120,35337.0148079656,120,416.208019245148,120,1620.11988541839,120,43,,,,,,
121,1469.157,121,36141.4640897978,121,424.553429363251,121,1654.4128810047,121,43.20000076,,,,,,
122,1490.668,122,36957.4481370393,122,432.995554801941,122,1689.16035156648,122,43.40000153,,,,,,
123,1512.333,123,37785.0386684388,123,441.534746170044,123,1724.36473179109,123,43.59999847,,,,,,
124,1534.152,124,38624.3113871198,124,450.171250038147,124,1760.02829405341,124,43.79999924,,,,,,
125,1556.125,125,39475.3300430812,125,458.905453125,125,1796.15347304082,125,44,,,,,,
126,1578.252,126,40338.1663550716,126,467.737566368103,126,1832.74254112818,126,44.20000076,,,,,,
127,1600.533,127,41212.8840730898,127,476.667976486206,127,1869.79809531537,127,44.40000153,,,,,,
128,1622.968,128,42099.5549158845,128,485.696964729309,128,1907.32224566475,128,44.59999847,,,,,,
129,1645.557,129,42998.2426334545,129,494.824812347412,129,1945.31742686371,129,44.79999924,,,,,,
130,1668.3,130,44339.5031433851,130,504.051870903015,130,1983.78607359962,130,45,,,,,,
131,1691.197,131,45271.4881565599,131,513.378386489868,131,2022.73029593485,131,45.20000076,,,,,,
132,1714.248,132,46215.8170756418,132,522.804710670471,132,2062.15252855677,132,45.40000153,,,,,,
133,1737.453,133,47172.5582990665,133,532.331089538574,133,2102.05520615276,133,45.59999847,,,,,,
134,1760.812,134,48141.7802252695,134,541.957874656677,134,2142.44027647271,134,45.79999924,,,,,,
135,1784.325,135,49123.5512526864,135,551.685312595367,135,2183.31049882898,135,46,,,,,,
136,1807.992,136,50117.9397797529,136,561.51375396347,136,2224.66782097144,136,46.20000076,,,,,,
137,1831.813,137,51125.010181467,137,571.443445331573,137,2266.51467758748,137,46.40000153,,,,,,
138,1855.788,138,52144.834879702,138,581.474667949676,138,2308.85334105198,138,46.59999847,,,,,,
139,1879.917,139,53177.4742260184,139,591.607773380279,139,2351.68592142731,139,46.79999924,,,,,,
140,1904.2,140,54223.0046657268,140,601.843007717133,140,2395.01501571333,140,47,,,,,,
141,1928.637,141,55281.4905738253,141,612.180617053986,141,2438.84257165995,141,47.20000076,,,,,,
142,1953.228,142,56352.9923018748,142,622.621023265839,142,2483.17102395453,142,47.40000153,,,,,,
143,1977.973,143,57437.5822717482,143,633.164366977692,143,2528.00248265946,143,47.59999847,,,,,,
144,2002.872,144,58535.3288818812,144,643.810999752045,144,2573.3393824621,144,47.79999924,,,,,,
145,2027.925,145,59646.2965072719,145,654.561202838898,145,2619.18399573734,145,48,,,,,,
146,2053.132,146,60770.5495229186,146,665.415187175751,146,2665.53827023506,146,48.20000076,,,,,,
147,2078.493,147,61908.1603506943,147,676.373374637604,147,2712.40447833015,147,48.40000153,,,,,,
148,2104.008,148,63059.1853187224,148,687.435976638794,148,2759.78505470998,148,48.59999847,,,,,,
149,2129.677,149,64223.7048957506,149,698.603203163147,149,2807.68227174941,149,48.79999924,,,,,,
150,2155.5,150,65401.7713864651,150,709.87540625,150,2856.09791488586,150,49,,,,,,
151,2181.477,151,66593.4572127387,151,721.252937461853,151,2905.03474343167,151,49.20000076,,,,,,
152,2207.608,152,67798.8307730071,152,732.735867111206,152,2954.49438051176,152,49.40000153,,,,,,
153,2233.893,153,69017.940348519,153,744.324617073059,153,3004.47958543848,153,49.59999847,,,,,,
154,2260.332,154,70250.8744548969,154,756.019468597412,154,3054.99198133674,154,49.80000305,,,,,,
155,2286.925,155,71497.697467139,155,767.820562309265,155,3106.03416520641,155,50,,,,,,
156,2313.672,156,72758.4496196192,156,779.728320083618,156,3157.60808479736,156,50.20000076,,,,,,
157,2340.573,157,74033.2274748348,157,791.742952857971,157,3209.71633710948,157,50.40000153,,,,,,
158,2367.628,158,75322.0712671597,158,803.864671569824,158,3262.36054526766,158,50.59999847,,,,,,
159,2394.837,159,76625.0614653416,159,816.093827781677,159,3315.54330627177,159,50.80000305,,,,,,
160,2422.2,160,77942.254397504,160,828.43063243103,160,3369.26624324673,160,51,,,,,,
161,2449.717,161,79273.7144386452,161,840.87543755722,161,3423.53195319238,161,51.20000076,,,,,,
162,2477.388,162,80619.514010638,162,853.428382831573,162,3478.34270848361,162,51.40000153,,,,,,
163,2505.213,163,81979.7174884807,163,866.089820293426,163,3533.70013224533,163,51.59999847,,,,,,
164,2533.192,164,83354.373153422,164,878.85996088028,164,3589.6068214774,164,51.80000305,,,,,,
165,2561.325,165,84743.5614742097,165,891.739156154633,165,3646.06439930473,165,52,,,,,,
166,2589.612,166,86147.3468258418,166,904.727476428985,166,3703.07578735216,166,52.20000076,,,,,,
167,2618.053,167,87565.7774895672,167,917.825413890838,167,3760.64228411963,167,52.40000153,,,,,,
168,2646.648,168,88998.9339341335,168,931.033038852692,168,3818.766486607,168,52.59999847,,,,,,
